filename	event_labels
1Eb_BTzbRKI_10_20	Speech,Baby_laughter
LrNbiiO_47I_410_420	Singing,Speech
OPg3YbCs72g_210_220	Speech,Vacuum_cleaner
FUYKdz0eCRA_20_30	Speech,Baby_cry_infant_cry
DuGzo5BzdH0_30_40	Violin_fiddle,Speech
M66HyyZnhD4_230_240	Helicopter,Speech
DxlWRprTU74_200_210	Cheering,Speech
C_TPwtk8Nko_460_470	Speech,Clapping
7jcIdsTZpOI_180_190	Cheering,Speech
HOgIw8typWM_20_30	Speech,Dog
G7Ucxn0Awd0_30_40	Violin_fiddle,Speech
Cj_mstNGFxY_30_40	Cheering,Speech
H-vKvvhul2s_0_10	Speech,Dog
56zWNCGDOcU_180_190	Speech,Vacuum_cleaner
0MOyfniKEsw_30_40	Cheering,Speech
MDZRql3t2yk_30_40	Violin_fiddle,Speech
D--ew_vaXv4_180_190	Cat,Speech
K9VEsKlz5YQ_260_270	Speech,Dog
1bLEamtm31s_140_150	Speech,Car
E2Udd5pBDgM_30_40	Violin_fiddle,Speech
G3AhoEHWi3A_430_440	Motorcycle,Speech
JR4UTcCzluU_30_40	Speech,Baby_cry_infant_cry
GFlytVQSztI_30_40	Chicken_rooster,Speech
NynJE7AFrmA_18_28	Violin_fiddle,Speech
CCxitTnroM0_150_160	Speech,Vacuum_cleaner
IXhoxQJsKnc_320_330	Motorcycle,Speech
7f316uEKyIM_380_390	Basketball_bounce,Speech
Ok3_jHSk4Ks_30_40	Violin_fiddle,Speech
Ie7evzGfHsI_10_20	Speech,Dog
786Q6YRmwPU_30_40	Cheering,Speech
416LXKQCpQg_110_120	Speech,Fire_alarm
JzTzJhQcdf4_0_10	Speech,Dog
B7nHxU8lvQE_0_10	Speech,Dog
J1yTJf4DhVU_30_40	Speech,Baby_cry_infant_cry
DR66Fj-Yz10_30_40	Speech,Baby_cry_infant_cry
FQ4vmShrzm4_9_19	Chicken_rooster,Speech
9DIPH9ZtCUU_190_200	Cheering,Speech
DgUAtF6JoHg_30_40	Speech,Dog
MLT3QvoP-ps_60_70	Speech,Vacuum_cleaner
Iln3aKQ_wKk_370_380	Singing,Speech
NQi9a6_WEgo_460_470	Helicopter,Speech
AwC0-lBqTSs_30_40	Violin_fiddle,Speech
GoCZQwQJ9zE_30_40	Violin_fiddle,Speech
Mck9lN44_Sc_30_40	Helicopter,Speech
Jxp5TYFGykM_0_10	Speech,Baby_laughter
HovbbXiYNjw_0_10	Speech,Dog
01SvT7xW52E_30_40	Cheering,Speech,Clapping
JrmKqYrXb_Y_30_40	Speech,Clapping
GBehSVE_3lI_40_50	Motorcycle,Speech
AGs7jZ_ZlRc_70_80	Cat,Speech
FPV-70zpY9s_30_40	Speech,Baby_cry_infant_cry
FTQpKAFd7xM_40_50	Blender,Speech
Bm8cb5I2N1A_40_50	Motorcycle,Speech
Fu-avka_bQ8_10_20	Speech,Dog
Oy2p3TGpApw_260_270	Acoustic_guitar,Speech
EmsZLw7JTdw_20_30	Speech,Dog
FoMl1LtH51g_110_120	Speech,Dog
2V592vtrYkg_30_40	Speech,Car
ByvBZYvoDkQ_30_40	Violin_fiddle,Speech
FdeVZWytvgI_30_40	Speech,Clapping
G0sspbgdhIQ_260_270	Blender,Speech
KBkwfSZGgkI_30_40	Speech,Dog
MKVhwTep2VI_30_40	Singing,Speech
GfSvgTQ9PXs_30_40	Violin_fiddle,Speech
CV-e4j8BcTY_90_100	Speech,Baby_laughter
4j4Tg-OAL-4_20_30	Cheering,Speech
6a8Hnuk-TiI_30_40	Cheering,Speech,Clapping
JAgBuW5_jBM_450_460	Acoustic_guitar,Speech
AwxvjrbEkTg_10_20	Chainsaw,Speech
2huA-HLPLqQ_80_90	Speech,Car
9qEIKoOXvWM_30_40	Violin_fiddle,Speech
G0HLaxbGci4_0_10	Singing,Speech
EYjj_alhfy8_160_170	Singing,Speech
Ejp8wn_rnlA_120_130	Speech,Dog
61rsvYB-r4Y_20_30	Singing,Cheering,Speech
9puiKadufhc_150_160	Speech,Frying_(food)
3Id9FCJr0lI_30_40	Speech,Car
9urBm5gQ_Gs_120_130	Speech,Frying_(food)
MkZZsE5BLYY_80_90	Acoustic_guitar,Speech
JfMRPr24Zvg_0_10	Banjo,Speech
IeKHLymoEZM_80_90	Motorcycle,Speech
9h-C_XxpsNI_30_40	Violin_fiddle,Speech
K3lM6_F-GCE_350_360	Lawn_mower,Speech
Le72jLfurio_90_100	Telephone_bell_ringing,Speech
JhjxP1Urdlk_110_120	Motorcycle,Speech
N9ymH2-S8Go_240_250	Cheering,Speech
18cB7ZL5rgo_190_200	Speech,Clapping
2pHqNqTuhU4_430_440	Banjo,Speech
LC7aMetFUhg_140_150	Speech,Fire_alarm
1UWO1oPOz6g_30_40	Cheering,Speech
EuM3SyIh41A_10_20	Singing,Speech
LA_UgRxWsnw_200_210	Speech,Frying_(food)
C0m7be9RH3o_30_40	Violin_fiddle,Speech
HvqhRI3xkvA_60_70	Basketball_bounce,Speech
KGy3vffRE0o_0_10	Motorcycle,Speech
CjlBL0EF2w4_60_70	Basketball_bounce,Speech
9jYy-LdBOlU_30_40	Speech,Baby_cry_infant_cry
E1FHRl3Qv_o_40_50	Speech,Dog
Fvq1pdaqVz8_150_160	Speech,Dog
A5URYW0-_uk_0_10	Banjo,Speech
BGrWWoQaNXA_30_40	Speech,Baby_cry_infant_cry
Bdm7GjyAxG0_30_40	Telephone_bell_ringing,Speech
D6elnQ4sGeI_160_170	Speech,Dog
37jOhhVr2rs_30_40	Speech,Car
4G3CMNyugog_30_40	Cheering,Speech
Khus47yQFTc_210_220	Acoustic_guitar,Speech
1ChI48m9VHA_0_10	Speech,Clapping
EmC0mpkUjTM_30_40	Violin_fiddle,Speech
N1eVPPyBKq8_10_20	Singing,Speech
P5E19PJZRVQ_190_200	Motorcycle,Speech
Lx0WviESnCw_340_350	Helicopter,Speech
HvbTjLzqwjA_120_130	Chicken_rooster,Speech
L2A4-nf0Qhc_110_120	Speech,Dog
OaEDezCtxm8_150_160	Chicken_rooster,Speech
BBKRJy2pDtc_90_100	Motorcycle,Speech
CaMUH-Vi6SI_40_50	Helicopter,Speech
EcyRI2DntA8_30_40	Cat,Speech
L1YtLkAX9NI_30_40	Cheering,Speech
FDZVavCF2I8_0_10	Motorcycle,Speech
LHFXgf-kfAY_30_40	Acoustic_guitar,Speech
HTKLaCdAQB4_30_40	Speech,Fire_alarm
IIzp_pwdaz8_30_40	Speech,Baby_cry_infant_cry
DTmQpWIM2Vc_160_170	Singing,Speech
0LJ-VFK_180_130_140	Speech,Fire_alarm
8SWgEWUrWz4_30_40	Cheering,Speech
B2rNzjbgbDg_30_40	Speech,Baby_cry_infant_cry
L5bD4Jms9Ok_180_190	Motorcycle,Speech
JZoY1XmXplo_150_160	Speech,Frying_(food)
MzgKxzik-jw_10_20	Motorcycle,Speech
Gojn1DLDyeY_30_40	Violin_fiddle,Speech
6tXkKR9EU6w_10_20	Chainsaw,Speech
ESUnv47DeT4_460_470	Motorcycle,Speech
CTgValQeGkg_60_70	Speech,Dog
ImswD4dqLGA_0_10	Motorcycle,Speech
LtZeCrkJjYU_30_40	Violin_fiddle,Speech
GRSFF460TII_6_16	Speech,Dog
INA5NMr3bwE_90_100	Motorcycle,Speech
LLGpULGrHxw_360_370	Acoustic_guitar,Speech
FOAaDd3hVpk_340_350	Motorcycle,Speech
Dfh4GVX5IuE_30_40	Singing,Speech
MLDcqLs5vnQ_270_280	Speech,Dog
